time,value
2015-08-11 00:00:00,4.375
2015-08-11 00:15:00,3.9375
2015-08-11 00:30:00,3.75
2015-08-11 00:45:00,1.6875
2015-08-11 01:00:00,1.6875
2015-08-11 01:15:00,1.8125
2015-08-11 01:30:00,1.6875
2015-08-11 01:45:00,1.78125
2015-08-11 02:00:00,1.6875
2015-08-11 02:15:00,1.78125
2015-08-11 02:30:00,2.625
2015-08-11 02:45:00,1.84375
2015-08-11 03:00:00,1.6875
2015-08-11 03:15:00,1.78125
2015-08-11 03:30:00,1.6875
2015-08-11 03:45:00,1.8125
2015-08-11 04:00:00,1.75
2015-08-11 04:15:00,1.75
2015-08-11 04:30:00,1.75
2015-08-11 04:45:00,1.75
2015-08-11 05:00:00,1.75
2015-08-11 05:15:00,1.75
2015-08-11 05:30:00,1.5625
2015-08-11 05:45:00,0.875
2015-08-11 06:00:00,0.8125
2015-08-11 06:15:00,0.78125
2015-08-11 06:30:00,0.78125
2015-08-11 06:45:00,0.75
2015-08-11 07:00:00,0.9375
2015-08-11 07:15:00,1.1875
2015-08-11 07:30:00,0.6875
2015-08-11 07:45:00,0.875
2015-08-11 08:00:00,0.75
2015-08-11 08:15:00,0.84375
2015-08-11 08:30:00,0.71875
2015-08-11 08:45:00,1.375
2015-08-11 09:00:00,5.6875
2015-08-11 09:15:00,6.15625
2015-08-11 09:30:00,7.3125
2015-08-11 09:45:00,8.1875
2015-08-11 10:00:00,8.78125
2015-08-11 10:15:00,8.6875
2015-08-11 10:30:00,8.5
2015-08-11 10:45:00,9.4375
2015-08-11 11:00:00,9.65625
2015-08-11 11:15:00,9.875
2015-08-11 11:30:00,12.59375
2015-08-11 11:45:00,12.96875
2015-08-11 12:00:00,14.59375
2015-08-11 12:15:00,13.8125
2015-08-11 12:30:00,14.1875
2015-08-11 12:45:00,13.6875
2015-08-11 13:00:00,11.0625
2015-08-11 13:15:00,9.875
2015-08-11 13:30:00,10.28125
2015-08-11 13:45:00,11.09375
2015-08-11 14:00:00,11.625
2015-08-11 14:15:00,12.5625
2015-08-11 14:30:00,12.625
2015-08-11 14:45:00,13.0
2015-08-11 15:00:00,13.21875
2015-08-11 15:15:00,11.65625
2015-08-11 15:30:00,11.5625
2015-08-11 15:45:00,10.25
2015-08-11 16:00:00,9.5625
2015-08-11 16:15:00,9.40625
2015-08-11 16:30:00,7.9375
2015-08-11 16:45:00,9.0625
2015-08-11 17:00:00,9.3125
2015-08-11 17:15:00,8.90625
2015-08-11 17:30:00,8.5
2015-08-11 17:45:00,7.9375
2015-08-11 18:00:00,5.75
2015-08-11 18:15:00,5.71875
2015-08-11 18:30:00,5.21875
2015-08-11 18:45:00,3.125
2015-08-11 19:00:00,2.15625
2015-08-11 19:15:00,1.90625
2015-08-11 19:30:00,1.6875
2015-08-11 19:45:00,1.375
2015-08-11 20:00:00,0.875
2015-08-11 20:15:00,0.90625
2015-08-11 20:30:00,0.84375
2015-08-11 20:45:00,0.9375
2015-08-11 21:00:00,0.78125
2015-08-11 21:15:00,0.84375
2015-08-11 21:30:00,0.8125
2015-08-11 21:45:00,0.8125
2015-08-11 22:00:00,0.8125
2015-08-11 22:15:00,0.75
2015-08-11 22:30:00,0.875
2015-08-11 22:45:00,0.78125
2015-08-11 23:00:00,1.9375
2015-08-11 23:15:00,2.0
2015-08-11 23:30:00,2.46875
2015-08-11 23:45:00,2.90625
2015-08-12 00:00:00,3.09375
2015-08-12 00:15:00,2.6875
2015-08-12 00:30:00,1.875
2015-08-12 00:45:00,0.75
2015-08-12 01:00:00,0.71875
2015-08-12 01:15:00,0.8125
2015-08-12 01:30:00,0.78125
2015-08-12 01:45:00,0.75
2015-08-12 02:00:00,0.71875
2015-08-12 02:15:00,0.875
2015-08-12 02:30:00,0.65625
2015-08-12 02:45:00,0.8125
2015-08-12 03:00:00,0.6875
2015-08-12 03:15:00,0.75
2015-08-12 03:30:00,0.75
2015-08-12 03:45:00,0.6875
2015-08-12 04:00:00,0.78125
2015-08-12 04:15:00,0.65625
2015-08-12 04:30:00,0.8125
2015-08-12 04:45:00,0.6875
2015-08-12 05:00:00,0.6875
2015-08-12 05:15:00,0.78125
2015-08-12 05:30:00,0.65625
2015-08-12 05:45:00,0.8125
2015-08-12 06:00:00,0.6875
2015-08-12 06:15:00,0.75
2015-08-12 06:30:00,0.75
2015-08-12 06:45:00,0.65625
2015-08-12 07:00:00,0.96875
2015-08-12 07:15:00,1.0625
2015-08-12 07:30:00,0.8125
2015-08-12 07:45:00,0.75
2015-08-12 08:00:00,0.8125
2015-08-12 08:15:00,0.6875
2015-08-12 08:30:00,0.875
2015-08-12 08:45:00,1.03125
2015-08-12 09:00:00,6.78125
2015-08-12 09:15:00,6.375
2015-08-12 09:30:00,7.53125
2015-08-12 09:45:00,7.625
2015-08-12 10:00:00,7.9375
2015-08-12 10:15:00,8.09375
2015-08-12 10:30:00,7.8125
2015-08-12 10:45:00,8.78125
2015-08-12 11:00:00,11.90625
2015-08-12 11:15:00,15.625
2015-08-12 11:30:00,14.65625
2015-08-12 11:45:00,14.40625
2015-08-12 12:00:00,14.125
2015-08-12 12:15:00,14.75
2015-08-12 12:30:00,14.5625
2015-08-12 12:45:00,13.375
2015-08-12 13:00:00,12.03125
2015-08-12 13:15:00,10.28125
2015-08-12 13:30:00,10.5
2015-08-12 13:45:00,10.40625
2015-08-12 14:00:00,9.96875
2015-08-12 14:15:00,10.65625
2015-08-12 14:30:00,10.8125
2015-08-12 14:45:00,11.09375
2015-08-12 15:00:00,10.5
2015-08-12 15:15:00,10.125
2015-08-12 15:30:00,12.0
2015-08-12 15:45:00,12.9375
2015-08-12 16:00:00,12.5
2015-08-12 16:15:00,12.0625
2015-08-12 16:30:00,11.34375
2015-08-12 16:45:00,11.34375
2015-08-12 17:00:00,11.84375
2015-08-12 17:15:00,11.9375
2015-08-12 17:30:00,12.40625
2015-08-12 17:45:00,10.0625
2015-08-12 18:00:00,6.5
2015-08-12 18:15:00,6.5625
2015-08-12 18:30:00,4.3125
2015-08-12 18:45:00,3.71875
2015-08-12 19:00:00,2.40625
2015-08-12 19:15:00,1.9375
2015-08-12 19:30:00,1.3125
2015-08-12 19:45:00,0.75
2015-08-12 20:00:00,0.875
2015-08-12 20:15:00,0.75
2015-08-12 20:30:00,0.8125
2015-08-12 20:45:00,0.78125
2015-08-12 21:00:00,0.84375
2015-08-12 21:15:00,0.75
2015-08-12 21:30:00,0.875
2015-08-12 21:45:00,0.71875
2015-08-12 22:00:00,0.8125
2015-08-12 22:15:00,0.78125
2015-08-12 22:30:00,0.8125
2015-08-12 22:45:00,2.0625
2015-08-12 23:00:00,2.25
2015-08-12 23:15:00,2.03125
2015-08-12 23:30:00,2.21875
2015-08-12 23:45:00,5.71875
2015-08-13 00:00:00,6.15625
2015-08-13 00:15:00,5.6875
2015-08-13 00:30:00,1.75
2015-08-13 00:45:00,0.6875
2015-08-13 01:00:00,0.8125
2015-08-13 01:15:00,0.78125
2015-08-13 01:30:00,0.78125
2015-08-13 01:45:00,0.75
2015-08-13 02:00:00,0.75
2015-08-13 02:15:00,0.78125
2015-08-13 02:30:00,0.78125
2015-08-13 02:45:00,0.75
2015-08-13 03:00:00,0.78125
2015-08-13 03:15:00,0.78125
2015-08-13 03:30:00,0.75
2015-08-13 03:45:00,0.71875
2015-08-13 04:00:00,0.78125
2015-08-13 04:15:00,0.75
2015-08-13 04:30:00,0.71875
2015-08-13 04:45:00,0.78125
2015-08-13 05:00:00,0.75
2015-08-13 05:15:00,0.78125
2015-08-13 05:30:00,0.71875
2015-08-13 05:45:00,0.75
2015-08-13 06:00:00,0.71875
2015-08-13 06:15:00,0.78125
2015-08-13 06:30:00,0.6875
2015-08-13 06:45:00,0.84375
2015-08-13 07:00:00,0.71875
2015-08-13 07:15:00,0.75
2015-08-13 07:30:00,0.75
2015-08-13 07:45:00,0.84375
2015-08-13 08:00:00,0.71875
2015-08-13 08:15:00,0.875
2015-08-13 08:30:00,0.71875
2015-08-13 08:45:00,1.09375
2015-08-13 09:00:00,4.8125
2015-08-13 09:15:00,7.0625
2015-08-13 09:30:00,7.1875
2015-08-13 09:45:00,7.1875
2015-08-13 10:00:00,7.875
2015-08-13 10:15:00,8.0625
2015-08-13 10:30:00,8.125
2015-08-13 10:45:00,10.34375
2015-08-13 11:00:00,13.40625
2015-08-13 11:15:00,14.4375
2015-08-13 11:30:00,14.65625
2015-08-13 11:45:00,15.40625
2015-08-13 12:00:00,15.5
2015-08-13 12:15:00,14.34375
2015-08-13 12:30:00,14.09375
2015-08-13 12:45:00,14.84375
2015-08-13 13:00:00,12.28125
2015-08-13 13:15:00,9.6875
2015-08-13 13:30:00,9.15625
2015-08-13 13:45:00,9.375
2015-08-13 14:00:00,9.5625
2015-08-13 14:15:00,9.15625
2015-08-13 14:30:00,8.75
2015-08-13 14:45:00,8.4375
2015-08-13 15:00:00,8.125
2015-08-13 15:15:00,7.46875
2015-08-13 15:30:00,7.40625
2015-08-13 15:45:00,7.5
2015-08-13 16:00:00,7.625
2015-08-13 16:15:00,8.1875
2015-08-13 16:30:00,8.5625
2015-08-13 16:45:00,8.125
2015-08-13 17:00:00,8.875
2015-08-13 17:15:00,8.03125
2015-08-13 17:30:00,8.09375
2015-08-13 17:45:00,9.71875
2015-08-13 18:00:00,7.40625
2015-08-13 18:15:00,7.0
2015-08-13 18:30:00,5.71875
2015-08-13 18:45:00,3.6875
